UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-16T00:19:02.000,5.5008235,-0.21438591,3.8202066,3.9521031,-0.21438591,2.2258406,5.0258064,0
2023-01-16T00:19:06.000,4.956025,-0.09225895,3.3465452,3.6543543,-0.09225895,1.88373,4.5831466,0
2023-01-16T00:19:10.000,4.8298116,-0.009481737,3.5207236,3.306281,-0.009481737,2.167166,4.316293,0
2023-01-16T00:19:14.000,4.85024,-0.03184814,3.4998677,3.3577878,-0.03184814,2.1299167,4.357438,0
2023-01-16T00:19:19.000,4.586951,-0.05149475,3.1918585,3.2938583,-0.05149475,1.8628092,4.191349,0
2023-01-16T00:19:23.000,4.651374,0.19593225,3.4510589,3.1124074,0.19593225,2.1686928,4.1101894,0
2023-01-16T00:19:27.000,4.420462,0.27141237,3.2582297,2.975022,0.27141237,2.0350027,3.9147897,0
2023-01-16T00:19:32.000,4.469959,0.26310545,3.1623588,3.1481416,0.26310545,1.8854585,4.044299,0
2023-01-16T00:19:36.000,4.459332,0.264266,2.835826,3.4313114,0.264266,1.4814708,4.197743,0
2023-01-16T00:19:40.000,4.672461,0.19039321,2.6849597,3.8192449,0.19039321,1.2063646,4.510024,0
2023-01-16T00:19:45.000,4.336564,-0.36198962,2.7814002,3.3073497,-0.36198962,1.4731612,4.062578,0
2023-01-16T00:19:49.000,5.2936773,-0.79704654,3.4696043,3.9178543,-0.79704654,1.9092723,4.8726187,0
2023-01-16T00:19:53.000,4.8738804,-0.61948454,2.9921126,3.797132,-0.61948454,1.5025687,4.5949144,0
2023-01-16T00:19:57.000,5.0377016,-0.66835773,2.910316,4.057314,-0.66835773,1.3363001,4.811033,0
2023-01-16T00:20:02.000,5.7064147,-0.8697442,3.0249913,4.7598467,-0.8697442,1.2022908,5.5101,0
2023-01-16T00:20:06.000,5.800826,-0.8856901,1.7952662,5.444461,-0.8856901,-0.18783402,5.729734,0
2023-01-16T00:20:10.000,5.2969446,-1.0749685,0.8505908,5.1164985,-1.0749685,-0.96188855,5.0967474,0
2023-01-16T00:20:15.000,5.4434485,-1.2682527,-0.64119875,5.2546673,-1.2682527,-2.4100533,4.7132053,0
2023-01-16T00:20:19.000,4.245804,-1.1980518,-0.37906763,4.055592,-1.1980518,-1.7512984,3.6775634,0
2023-01-16T00:20:23.000,3.6430347,-0.8568244,-1.5645691,3.1764252,-0.8568244,-2.5618968,2.4442255,0
2023-01-16T00:20:28.000,5.501749,-1.1408402,-2.4509912,4.7916975,-1.1408402,-3.9498806,3.6559763,0
2023-01-16T00:20:32.000,5.631836,-1.769983,-1.8547088,5.0144577,-1.769983,-3.4665723,4.0703335,0
2023-01-16T00:20:36.000,5.4083557,-1.2988728,0.04083489,5.2499113,-1.2988728,-1.7676517,4.943546,0
2023-01-16T00:20:40.000,4.3528495,-1.1460428,1.0317476,4.0705504,-1.1460428,-0.43144673,4.177049,0
2023-01-16T00:20:45.000,5.308086,-1.5317541,0.14408222,5.0802307,-1.5317541,-1.6121863,4.8197885,0
2023-01-16T00:20:49.000,5.6344357,-1.9430941,-1.6561425,5.022792,-1.9430941,-3.2827392,4.14667,0
