UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm
2023-02-01T17:09:15.000,6.955538272857666,2.6882422,-6.207025,1.6204027,2.6882422,-6.411447,-0.21497118
2023-02-01T17:09:19.000,7.222753524780273,2.7291212,-6.6872926,-0.013607213,2.7291212,-6.4062257,-1.918418
2023-02-01T17:09:24.000,6.873504638671875,3.574856,-5.8602104,-0.3512915,3.574856,-5.51711,-2.0067308
2023-02-01T17:09:28.000,6.7328290939331055,2.8144774,-5.9296017,1.4998432,2.8144774,-6.1111355,-0.2524395
2023-02-01T17:09:32.000,7.057003974914551,2.7582142,-6.4367666,0.87269276,2.7582142,-6.4184604,-0.99845666
2023-02-01T17:09:36.000,6.837041854858398,2.9408937,-6.118249,0.81444335,2.9408937,-6.096506,-0.9637996
2023-02-01T17:09:41.000,7.111112117767334,3.6725273,-6.0595427,0.6019997,3.6725273,-5.979605,-1.1509917
2023-02-01T17:09:45.000,6.9945902824401855,3.409856,-6.1048923,0.16574158,3.409856,-5.8985844,-1.5823677
2023-02-01T17:09:49.000,6.955319404602051,2.4392068,-6.43567,1.0044354,2.4392068,-6.4547877,-0.87318504
2023-02-01T17:09:54.000,7.205634593963623,1.837335,-6.874027,1.1371588,1.837335,-6.912747,-0.87137794
2023-02-01T17:09:58.000,7.1912055015563965,2.6496584,-6.6849318,-0.06661612,2.6496584,-6.3879547,-1.9714898
2023-02-01T17:10:02.000,6.893535614013672,2.6147065,-6.367838,0.36712617,2.6147065,-6.207747,-1.465612
2023-02-01T17:10:06.000,7.121924877166748,3.1708386,-6.269798,1.1650039,3.1708386,-6.3414755,-0.6732633
2023-02-01T17:10:11.000,7.228830814361572,3.2313313,-6.4555793,0.37415266,3.2313313,-6.293693,-1.4845626
2023-02-01T17:10:15.000,7.053492069244385,2.7849588,-6.416881,0.9052039,2.7849588,-6.4081774,-0.964894
2023-02-01T17:10:19.000,7.082640647888184,3.913732,-5.6618,1.6704849,3.913732,-5.90307,-0.016158462
2023-02-01T17:10:24.000,7.066879749298096,3.4936383,-5.7981277,2.029039,3.4936383,-6.13614,0.28821158
2023-02-01T17:10:28.000,6.965911865234375,3.3251026,-5.7903547,1.9847946,3.3251026,-6.116065,0.24771881
2023-02-01T17:10:32.000,6.895877838134766,3.5243597,-5.6451106,1.8068622,3.5243597,-5.9260445,0.11839867
2023-02-01T17:10:37.000,6.8088812828063965,3.3161929,-5.6453214,1.8692436,3.3161929,-5.9440813,0.17781532
2023-02-01T17:10:41.000,6.718948841094971,3.2865112,-5.650977,1.5522803,3.2865112,-5.8589053,-0.12784171
2023-02-01T17:10:45.000,6.719261169433594,3.2121418,-5.6934996,1.5539235,3.2121418,-5.9001164,-0.13872313
2023-02-01T17:10:49.000,6.810777187347412,3.2313857,-5.7961783,1.5326952,3.2313857,-5.9924297,-0.18872738
2023-02-01T17:10:54.000,6.558589458465576,3.0990155,-5.620991,1.3474618,3.0990155,-5.7715745,-0.31642509
2023-02-01T17:10:58.000,6.785881519317627,3.1391468,-5.8956513,1.1980147,3.1391468,-5.991993,-0.5384884
2023-02-01T17:11:02.000,6.804931163787842,2.9390357,-5.993517,1.3217072,2.9390357,-6.1211276,-0.44827032
2023-02-01T17:11:07.000,6.857729911804199,2.9727893,-6.0178027,1.406071,2.9727893,-6.168516,-0.37469542
2023-02-01T17:11:11.000,6.797201633453369,2.9204826,-6.0251646,1.1705229,2.9204826,-6.108138,-0.6028123
2023-02-01T17:11:15.000,7.160910606384277,3.4416337,-6.1666055,1.1860757,3.4416337,-6.248081,-0.62870824
2023-02-01T17:11:20.000,7.088773250579834,2.2941544,-6.617208,1.0955,2.2941544,-6.6538596,-0.84481597
2023-02-01T17:11:24.000,7.030896186828613,2.4434223,-6.5855446,0.30624813,2.4434223,-6.3974824,-1.5922929
2023-02-01T17:11:28.000,6.870091438293457,2.6659868,-6.2414737,1.0652133,2.6659868,-6.285103,-0.766906
2023-02-01T17:11:32.000,6.9560956954956055,2.8417768,-6.227149,1.2386224,2.8417768,-6.321011,-0.59698033
2023-02-01T17:11:37.000,7.157890319824219,3.3672025,-6.280059,0.6769056,3.3672025,-6.2107472,-1.1506319
2023-02-01T17:11:41.000,6.729683876037598,3.329363,-5.7457767,1.0908899,3.329363,-5.8174314,-0.6012317
2023-02-01T17:11:45.000,7.074703693389893,3.3375773,-6.0976686,1.3154627,3.3375773,-6.218892,-0.48722243
2023-02-01T17:11:50.000,6.893446922302246,2.891227,-6.1713104,1.0369873,2.891227,-6.2095976,-0.7754384
2023-02-01T17:11:54.000,6.760490894317627,2.734978,-6.094745,1.0383723,2.734978,-6.1366043,-0.7524783
2023-02-01T17:11:58.000,6.829135417938232,3.2677104,-5.880308,1.1752149,3.2677104,-5.9703693,-0.56020784
2023-02-01T17:12:03.000,6.988331317901611,3.0341043,-6.1713796,1.2430047,3.0341043,-6.2686276,-0.5790441
2023-02-01T17:12:07.000,6.9337687492370605,3.083399,-6.0940742,1.1966864,3.083399,-6.181256,-0.6015619
2023-02-01T17:12:11.000,6.743617534637451,3.3522346,-5.7012215,1.3171833,3.3522346,-5.839453,-0.37374365
2023-02-01T17:12:15.000,6.991589546203613,3.7463377,-5.7476673,1.3459556,3.7463377,-5.8921824,-0.35980582
2023-02-01T17:12:20.000,6.947318077087402,3.8265615,-5.6550617,1.2817706,3.8265615,-5.785034,-0.3950156
2023-02-01T17:12:24.000,6.981238842010498,3.5522294,-5.862315,1.3238674,3.5522294,-5.99563,-0.41447222
2023-02-01T17:12:28.000,7.096856594085693,3.4958026,-5.969311,1.58495,3.4958026,-6.173051,-0.19540048
2023-02-01T17:12:33.000,7.088624477386475,3.4706075,-5.994918,1.5048041,3.4706075,-6.174558,-0.27983868
2023-02-01T17:12:37.000,7.081624507904053,3.4161637,-6.037323,1.424767,3.4161637,-6.1921782,-0.36899686
2023-02-01T17:12:41.000,7.123157024383545,3.291739,-6.1812305,1.3023841,3.291739,-6.2948523,-0.5278714
2023-02-01T17:12:46.000,6.920279502868652,3.4819438,-5.878185,1.1014876,3.4819438,-5.946841,-0.63356507
2023-02-01T17:12:50.000,6.970485210418701,3.2850943,-6.0419126,1.1362737,3.2850943,-6.1136284,-0.64759135
2023-02-01T17:12:54.000,7.04168176651001,3.1368814,-6.144264,1.4118341,3.1368814,-6.290817,-0.41337848
2023-02-01T17:12:58.000,6.987953186035156,3.0728521,-6.1436,1.2826713,3.0728521,-6.2530355,-0.5372207
2023-02-01T17:13:03.000,6.999672889709473,3.3008814,-5.9762363,1.5440867,3.3008814,-6.167857,-0.23904705
2023-02-01T17:13:07.000,7.051615238189697,3.0285597,-6.2017927,1.4459838,3.0285597,-6.355672,-0.39817238
2023-02-01T17:13:11.000,7.158828258514404,3.279111,-6.3053656,0.85942936,3.279111,-6.2861776,-0.99006015
2023-02-01T17:13:16.000,6.963649749755859,3.4954815,-5.943389,0.974762,3.4954815,-5.972616,-0.7758119
2023-02-01T17:13:20.000,7.077069282531738,3.2439585,-6.0306673,1.7868117,3.2439585,-6.2897606,-0.023496509
2023-02-01T17:13:24.000,7.09309720993042,2.7059748,-6.375465,1.5307416,2.7059748,-6.5463037,-0.36826146
2023-02-01T17:13:28.000,7.081896781921387,3.1985455,-6.173268,1.3466014,3.1985455,-6.2996535,-0.48676276
2023-02-01T17:13:33.000,7.032970905303955,3.0947192,-6.191879,1.2433945,3.0947192,-6.2877483,-0.5912808
2023-02-01T17:13:37.000,6.841812610626221,3.2016807,-5.894289,1.3479604,3.2016807,-6.032824,-0.40579784
2023-02-01T17:13:41.000,6.986110210418701,3.3152022,-5.9881225,1.3991286,3.3152022,-6.1373954,-0.3841188
2023-02-01T17:13:46.000,7.029049873352051,3.323454,-6.046902,1.3405844,3.323454,-6.176808,-0.45742178
2023-02-01T17:13:50.000,7.13586950302124,3.3248808,-6.136849,1.4848859,3.3248808,-6.3044796,-0.34545374
2023-02-01T17:13:54.000,6.997987747192383,3.3254194,-5.9638667,1.531572,3.3254194,-6.152259,-0.25124097
2023-02-01T17:13:59.000,6.86380672454834,3.2062473,-5.8592625,1.581413,3.2062473,-6.066437,-0.17368984
2023-02-01T17:14:03.000,6.960559844970703,3.2985647,-5.9118886,1.6181583,3.2985647,-6.12741,-0.15397656
2023-02-01T17:14:07.000,6.785482406616211,3.2965171,-5.678452,1.7119964,3.2965171,-5.930914,0.0028442144
2023-02-01T17:14:11.000,7.0220112800598145,3.2729335,-5.966147,1.7325246,3.2729335,-6.212316,-0.060727835
2023-02-01T17:14:16.000,6.969517707824707,3.3068519,-5.8966465,1.6936551,3.3068519,-6.134557,-0.07822764
2023-02-01T17:14:20.000,7.024169921875,3.3420532,-5.922982,1.7572507,3.3420532,-6.178107,-0.025239468
2023-02-01T17:14:24.000,6.957193851470947,3.3006127,-5.914829,1.5884905,3.3006127,-6.12163,-0.18479311
2023-02-01T17:14:29.000,7.04868221282959,3.318974,-6.018442,1.5641885,3.318974,-6.21382,-0.23826051
2023-02-01T17:14:33.000,7.144799709320068,3.2398617,-6.176931,1.5482175,3.2398617,-6.3609505,-0.29959142
2023-02-01T17:14:37.000,7.014848709106445,3.2144806,-6.009667,1.6610582,3.2144806,-6.233345,-0.14361227
2023-02-01T17:14:42.000,7.012426376342773,3.1657395,-6.0429115,1.6234028,3.1657395,-6.2543006,-0.18957698
2023-02-01T17:14:46.000,6.967151165008545,3.0884008,-6.033497,1.6124182,3.0884008,-6.2421064,-0.19769526
2023-02-01T17:14:50.000,6.9995808601379395,3.20857,-6.033046,1.517093,3.20857,-6.2141447,-0.28915012
2023-02-01T17:14:54.000,6.997148036956787,3.3160534,-5.970621,1.5216954,3.3160534,-6.155694,-0.26703584
2023-02-01T17:14:59.000,7.057778835296631,3.2511528,-6.0479894,1.6321981,3.2511528,-6.2616625,-0.18389797
2023-02-01T17:15:03.000,7.062302112579346,3.292549,-6.0174084,1.6810806,3.292549,-6.2464952,-0.1285851
2023-02-01T17:15:07.000,7.14229154586792,3.4011729,-5.975243,1.9341202,3.4011729,-6.2792187,0.1255287
2023-02-01T17:15:12.000,7.1338324546813965,3.5165842,-5.917274,1.8737844,3.5165842,-6.2062955,0.084195495
2023-02-01T17:15:16.000,7.125069618225098,3.3660994,-6.0120535,1.8141686,3.3660994,-6.2798085,-0.00058209896
2023-02-01T17:15:20.000,7.171332836151123,3.469658,-6.007696,1.8157859,3.469658,-6.2761045,0.0019057989
2023-02-01T17:15:25.000,7.120233058929443,3.3617024,-6.019616,1.7778908,3.3617024,-6.2765603,-0.038137555
2023-02-01T17:15:29.000,7.2256693840026855,3.313117,-6.1477017,1.8545396,3.313117,-6.4213347,-0.0021146536
2023-02-01T17:15:33.000,7.185426712036133,3.3685794,-6.162327,1.5194587,3.3685794,-6.3384385,-0.32743597
2023-02-01T17:15:37.000,7.089056491851807,3.3884027,-6.042046,1.505699,3.3884027,-6.219302,-0.3061427
2023-02-01T17:15:42.000,7.24448299407959,3.3140635,-6.235242,1.619035,3.3140635,-6.437008,-0.25385523
2023-02-01T17:15:46.000,7.161843776702881,3.229471,-6.1614842,1.7025387,3.229471,-6.3905516,-0.15291083
2023-02-01T17:15:50.000,7.149170398712158,3.3191872,-6.1215386,1.6187648,3.3191872,-6.3280654,-0.22186768
2023-02-01T17:15:55.000,7.1027045249938965,3.2267103,-6.016765,1.9583905,3.2267103,-6.3260574,0.13322377
2023-02-01T17:15:59.000,7.16331148147583,3.2826016,-6.1268992,1.7316662,3.2826016,-6.3658547,-0.11599624
2023-02-01T17:16:03.000,7.062590599060059,3.2275577,-5.9551177,1.9999079,3.2275577,-6.2790837,0.19016635
2023-02-01T17:16:08.000,6.95065450668335,3.3118145,-5.811014,1.8909239,3.3118145,-6.109606,0.12725854
2023-02-01T17:16:12.000,6.971134185791016,3.5088913,-5.6830096,1.9969457,3.5088913,-6.0177984,0.2654971
2023-02-01T17:16:16.000,6.972026824951172,3.39,-5.7484174,2.0181053,3.39,-6.0865445,0.26649714
2023-02-01T17:16:20.000,7.02733039855957,3.4304461,-5.868885,1.7808992,3.4304461,-6.1331387,0.0042533875
2023-02-01T17:16:25.000,7.164414882659912,3.5374932,-5.9764795,1.7597376,3.5374932,-6.229985,-0.047489405
2023-02-01T17:16:29.000,7.169636249542236,3.3851655,-6.1799283,1.3239433,3.3851655,-6.298405,-0.52385974
2023-02-01T17:16:33.000,7.2696452140808105,3.1335082,-6.465252,1.1087762,3.1335082,-6.5090857,-0.8128135
2023-02-01T17:16:38.000,7.1133527755737305,3.2387283,-6.2526383,1.0074409,3.2387283,-6.276184,-0.8484909
2023-02-01T17:16:42.000,7.121626853942871,3.1088703,-6.3257437,1.0185612,3.1088703,-6.3493295,-0.8593653
2023-02-01T17:16:46.000,7.28696870803833,2.9629705,-6.5585647,1.1427794,2.9629705,-6.608125,-0.8083273
2023-02-01T17:16:51.000,7.148137092590332,3.0686486,-6.285979,1.4716433,3.0686486,-6.442604,-0.41487277
2023-02-01T17:16:55.000,7.202051639556885,3.0370898,-6.355334,1.5017866,3.0370898,-6.5176992,-0.4064747
2023-02-01T17:16:59.000,7.131968975067139,3.435329,-5.9650884,1.8658019,3.435329,-6.24984,0.054778457
