seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,rmse_b3,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,corr_b3,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2,snr_b3
21,[31.00254466 53.78243044 18.6829211 ],[16.17332417 21.76803846 17.50298442],[37.13745393 14.25366583 27.22799757],[125.63524292 296.75032283  55.50692899],[26.64243251 35.58592393 58.99502819],[241.48207246 220.15117964  45.48311805],[21.48945677 28.92796805 26.30980147],[16.44720905 21.83515463 15.588683  ],[68.66083652 43.81943809 27.68393135],[363.30299343 297.69233482  45.13649014],[ 9.69946419 11.09413496 20.46836553],[0.9917238  0.97266719 0.95054456],[0.99778641 0.99629915 0.96346806],[0.98828982 0.99846294 0.91137214],[0.89052492 0.62198011 0.71343649],[0.99399524 0.98785959 0.69213285],[0.0967549  0.22420719 0.64664823],[0.99870692 0.99623204 0.97340928],[0.99770404 0.9964244  0.96829897],[0.96136528 0.98157276 0.90829419],[0.55302615 0.59737309 0.82749058],[0.99931826 0.99884023 0.97373309],[17.81147413 12.43665702  9.86410099],[23.46343514 20.29307958 10.43075446],[16.24317845 23.97093404  6.59268252],[ 5.6571913  -2.3983585   0.40605259],[19.12794349 16.02390058 -0.12331167],[-0.01827692  0.19504516  2.13599199],[20.99491223 17.82310692  6.89064517],[23.31757672 20.26634006 11.43680807],[10.90523917 14.21612942  6.44844131],[-3.56595855 -2.42588755  2.20244089],[27.90446609 26.1475966   9.0713333 ]
22,[25.96982196 52.72104374 13.5976901 ],[ 7.08562333 18.67589436  6.25622682],[ 3.89417766 10.89309319  6.35949631],[127.04908419  21.23319719  45.64647344],[250.19815716 352.79325545  59.27546386],[5.78167002 8.5460861  5.67674144],[ 1.94694707 12.34036709  5.65270523],[ 7.8773231  21.8923923   6.10446824],[5.78167002 8.5460861  5.67674144],[20.39840594 42.30592987 21.6540536 ],[298.68902697 164.8899704  161.2006299 ],[0.99429816 0.97402927 0.97376177],[0.99962526 0.99797571 0.99556834],[0.99991006 0.99925794 0.99648976],[0.90710935 0.9959293  0.7438544 ],[0.71158212 0.59428572 0.6053048 ],[0.99982022 0.99950023 0.99641979],[0.99996797 0.99913346 0.99736825],[0.99955187 0.99677295 0.99587226],[0.99982022 0.99950023 0.99641979],[0.99682368 0.98850078 0.94708197],[0.6269915  0.80975624 0.33008832],[19.35004153 12.60978551 12.6236938 ],[30.63185974 21.62383733 19.36674687],[35.83110576 26.30644112 19.2245422 ],[ 5.55999019 20.50915764  2.10485198],[-0.32626116 -3.90093998 -0.16450264],[32.39835495 28.41412023 20.21101431],[41.85233809 25.22290393 20.2478698 ],[29.71184779 20.24360106 19.58003981],[32.39835495 28.41412023 20.21101431],[21.44749637 14.5214406   8.58221244],[-1.86496439  2.7055807  -8.8543381 ]
23,[25.88766332 47.65018497 13.36004748],[13.9904672  15.17215745 18.43728831],[63.17712395 11.20710604 23.65446893],[ 46.93021031 111.52642461  55.26101343],[256.09700052  85.01116138  65.96995524],[ 19.55919847 220.10723413  30.38824276],[13.84041699 10.79523923  9.94739366],[10.22617572 14.62840029  9.06207467],[19.55919847 10.24496114 25.09481134],[36.29861063 87.50371635 30.7632423 ],[171.63377748  16.75447649 253.55191529],[0.99426706 0.97911304 0.97476554],[0.99858847 0.99819846 0.95322466],[0.97840514 0.9987917  0.92709236],[0.98310655 0.91605206 0.72859598],[0.52246152 0.92834818 0.64820226],[0.99676455 0.22522344 0.87084909],[0.99917195 0.99900308 0.98819267],[0.99922029 0.998686   0.98845365],[0.99676455 0.99898544 0.91760648],[0.99151582 0.92420712 0.88716891],[0.81606392 0.99727991 0.2300608 ],[19.37756393 13.48817368 12.77683655],[24.72277662 23.42851868  9.97905565],[11.62822394 26.05959588  7.81473254],[14.21037096  6.10190991  0.44461968],[-0.52866887  8.45994651 -1.0939272 ],[21.8123999   0.19677917  5.63888484],[24.81643748 26.38482008 15.33881048],[27.44515595 23.74552879 16.14844386],[21.8123999  26.83925919  7.30131789],[16.44162093  8.20893554  5.53235446],[  2.94736575  22.56684825 -12.78834132]
24,[31.71159007 48.21380273 26.71790088],[12.06654768 22.62223562 25.78523041],[17.82890935 10.41388265 16.3587469 ],[175.15542317  78.58112981 157.10285121],[257.15483135 282.8245939   95.12350901],[123.93590853 153.10725907  33.91873207],[ 7.21411103 13.27467204 14.07019873],[14.84424484 22.75225246 24.89306518],[13.38647463  9.69143557 12.15616801],[60.30374234 93.47656488 86.14204874],[ 7.89287681 19.46431305 31.11135427],[0.99188521 0.97814438 0.9198486 ],[0.99912783 0.99630643 0.9393635 ],[0.99785497 0.99900984 0.97102663],[0.85486315 0.95697158 0.57784065],[0.57726985 0.64199805 0.43793663],[0.85777562 0.73795871 0.82453709],[0.99959478 0.99854022 0.972844  ],[0.99865537 0.99624165 0.9409315 ],[0.99855077 0.99909384 0.98010873],[0.97212941 0.9373792  0.68127636],[0.9996571  0.99637722 0.86495171],[17.6150606  13.38603777  6.7569499 ],[26.00776031 19.95875507  7.06557625],[22.61692543 26.69721191 11.01799592],[ 2.7709492   9.14310013 -8.63068475],[-0.56447279 -1.98087794 -4.27276067],[5.77547788 3.34954986 4.6842044 ],[30.47576453 24.5889895  12.32699195],[24.20825879 19.90897754  7.37142906],[25.10609658 27.32170324 13.59706271],[12.03253568  7.63541061 -3.41130734],[29.69471448 21.26468388  5.43461826]
25,[27.86170181 52.05746398 26.47504525],[19.78965486 22.9260323   8.78443337],[8.16122921 3.48229764 8.2573456 ],[617.95316101 364.38000348  89.77034334],[248.76226822 330.41429813  81.35110889],[12.26183211  5.00047987 11.34658119],[13.28502161 72.52899056  7.76246983],[13.36765147 27.77215051  8.3963879 ],[12.26183211  5.00047987 11.34658119],[36.16252615 76.89842905  8.14692063],[36.64808349 29.80059582 27.28234444],[0.99465047 0.97507555 0.89320452],[0.9975206  0.99707862 0.99122447],[0.99947903 0.99991718 0.99135954],[0.15288628 0.5836873  0.59349764],[0.81060467 0.65889955 0.58253259],[0.99916244 0.99981517 0.98451802],[0.99894649 0.96058725 0.99281024],[0.99954505 0.99440596 0.9913216 ],[0.99916244 0.99981517 0.98451802],[0.99086783 0.96226313 0.99149429],[0.99313785 0.9923375  0.91544874],[18.73926817 12.71980535  6.83626236],[21.71065657 19.8428875  16.41872152],[29.40430947 36.21214773 16.95618735],[-8.17969019 -4.18162521 -3.76966114],[-0.27626919 -3.33171115 -2.91427296],[25.86831367 33.06923183 14.19569609],[25.17217567  9.83923284 17.49299808],[25.11831869 18.1772753  16.8111467 ],[25.86831367 33.06923183 14.19569609],[16.47424576  9.33111615 17.07312688],[16.35839561 17.56496656  6.57536283]
26,[27.56216892 57.71624281 21.53747051],[11.5322591  26.89836595 21.36394419],[134.86030014  48.86485006  40.73939768],[63.32791393 71.95409408 48.85094206],[ 54.02910083 282.13639609  60.38876353],[236.18369444 220.45633457  59.80333089],[ 7.99388313 86.43647623 13.90187515],[12.65368968 29.17900216 17.9697311 ],[56.93232231 93.5304832  82.46348128],[52.23084042 81.23849021 65.12525536],[19.54476166  7.35431994  7.75250778],[0.99366181 0.97203447 0.94877669],[0.99903739 0.99615513 0.950221  ],[0.88438232 0.9770129  0.87533619],[0.97598687 0.96511195 0.80026754],[0.97613063 0.40778172 0.77412241],[0.21018654 0.23321056 0.17756933],[0.99949045 0.98003776 0.98180524],[0.99880847 0.99614064 0.97152255],[0.97353974 0.93684271 0.67048445],[0.97968957 0.94419761 0.65321368],[0.99705143 0.99957792 0.99197172],[18.83315317 11.82350446  8.62910267],[26.40113314 18.45494754  8.69936789],[ 5.04173853 13.26953409  3.09270451],[11.60751733  9.90835531  1.51553772],[12.98686617 -1.95971679 -0.32612616],[ 0.17442274  0.18301385 -0.24151089],[29.58426508  8.31552443 12.43152891],[25.59507738 17.74805678 10.20216502],[12.53224298  7.63040194 -3.03223672],[13.28088069  8.85422863 -0.9819922 ],[21.8188134  29.71861511 17.50415237]
27,[63.09261248 62.94281859 26.12970027],[60.93308218 49.87911154 24.50579675],[ 8.49315924 17.67060403 29.42255216],[114.16577647 198.6409085   43.15013326],[241.37764716 206.76457473  23.29329883],[242.92251443  92.7715188   13.82378722],[14.51439379 36.1432806  19.2043808 ],[58.96910082 45.38786272 22.90940456],[20.26463904 12.474898   24.69747141],[270.81418724 177.88513734  45.63770094],[13.32130645  7.62151419 98.52268493],[0.98017474 0.96418963 0.91174642],[0.98364645 0.97860303 0.93472723],[0.9994218  0.99710527 0.89246974],[0.89035377 0.77795163 0.79859764],[0.5865413  0.73434966 0.92794647],[0.0964903  0.92692557 0.97287313],[0.99822123 0.98984493 0.95157354],[0.98475822 0.98332353 0.94046193],[0.9966622  0.99848594 0.91986139],[0.814153   0.78512101 0.7881846 ],[0.99881517 0.99956224 0.62130287],[11.63985076 11.07054177  6.95030802],[11.94235804 13.09109132  7.50762004],[29.05803563 22.1044376   5.91938976],[6.48870228 1.08809164 2.59335376],[-0.01452002  0.73994285  7.94837662],[-0.06993438  7.70117217 12.48045578],[24.40344294 15.88891411  9.62499041],[12.22693086 13.91067085  8.09272055],[21.50464352 25.12872543  7.43994676],[-1.01400727  2.04667223  2.10652142],[25.14848459 29.40864024 -4.57772819]
28,[26.45883821 44.64375728 14.36131745],[ 9.82710294 30.49824049  5.08677814],[23.08364212  9.76614811  7.37923567],[111.38582542 110.38455393  65.03836254],[  5.63600415 118.19009797  52.47543085],[  4.28193121 116.29706226  12.37281611],[9.07777388 8.49833702 3.23261156],[ 8.77652105 14.61801718  5.19268595],[ 4.28193121 20.91328543 12.37281611],[41.16689648 47.63785671 19.36463143],[14.4860782  24.30155918 53.48903825],[0.99395709 0.98036845 0.97050202],[0.99926649 0.99101147 0.99645165],[0.99585853 0.99919637 0.99200534],[0.92620199 0.87444035 0.56658961],[0.99972848 0.85403221 0.8388946 ],[0.9998601  0.85708516 0.97772875],[0.99947058 0.99931924 0.99872779],[0.9993616  0.99809659 0.99608762],[0.9998601  0.99631855 0.97772875],[0.98727376 0.98348798 0.96493183],[0.99825015 0.99450359 0.74729509],[19.18800556 14.05425074 12.14911094],[27.79091087 17.36396981 21.16414065],[20.37333432 27.25499938 17.93276898],[ 6.70282242  6.19129936 -0.97039539],[32.61999488  5.59784365  0.89387633],[35.00662726  5.73809061 13.44362542],[28.47983376 28.4627865  25.10192615],[28.772973   23.75169614 20.98515544],[35.00662726 20.6410202  13.44362542],[15.34845843 13.49042122  9.55281188],[24.42040447 19.33678273  0.7277008 ]
29,[38.40708258 90.75228645 24.86672715],[35.47339996 25.66107223 25.34361848],[ 45.73153067  46.010044   312.14207825],[97.66350307 58.49613458 63.15981523],[137.24511748  58.10984329  37.30061921],[48.04077917 88.39574158 34.4355338 ],[1.90447306 1.68566844 1.55494723],[29.46149495 25.43896865 22.28800388],[33.09615699 46.0475432  34.46317266],[72.42933554 57.75906696 53.86064678],[7.39964147 2.09644864 4.30973145],[0.99081059 0.92026164 0.92087768],[0.99260835 0.99569226 0.9168088 ],[0.98345773 0.98540383 0.246569  ],[0.96780596 0.96837002 0.66113252],[0.92688983 0.96736785 0.84131386],[0.98749932 0.92380905 0.86251596],[0.99997104 0.99997719 0.99967477],[0.99625791 0.99527408 0.93985052],[0.99406384 0.98179064 0.86222425],[0.97769243 0.98210935 0.70428023],[0.9995464  0.99997196 0.99725904],[15.95119459  7.89231399  7.380624  ],[16.64136466 18.86396952  7.21562414],[ 14.43510622  13.79241253 -14.59404977],[ 7.84477502 11.70692212 -0.71582043],[ 4.88948291 11.76447142  3.85867576],[14.00722012  8.12083863  4.55286019],[42.04392429 42.51402241 31.45868346],[18.25432537 18.9394755   8.33157309],[17.24386961 13.78533622  4.54589147],[10.44113095 11.81706212  0.6675653 ],[30.25520742 40.61978097 22.6039924 ]
30,[51.77549069 92.52288059 13.99912288],[24.65458412 27.8441794   5.8168901 ],[ 3.26540729  1.08811908 27.79521306],[53.10100153 47.2568552  49.98807974],[ 56.53490004 194.22068994  48.0219442 ],[2.55303964 3.19344067 3.44254427],[24.13163904 32.24959296  2.20314285],[16.42609508 31.55743414  6.67177594],[2.55303964 3.19344067 3.44254427],[ 5.51321783 12.53373159 14.96900378],[ 57.08807171 102.18241788  51.75622316],[0.97743994 0.91336617 0.97470453],[0.99567444 0.99702651 0.99691164],[0.9999282  0.99998879 0.89449805],[0.97989618 0.97958582 0.82760287],[0.97278871 0.88104037 0.73930932],[0.9999445  0.99992996 0.99826664],[0.9970875  0.99104812 0.99944053],[0.99861227 0.99672685 0.9964529 ],[0.9999445  0.99992996 0.99826664],[0.9997935  0.99891669 0.96747384],[0.97486147 0.89581908 0.72196558],[13.3569365   7.72448259 12.37098007],[19.80146735 18.15477704 19.99917941],[37.3606738  46.315937    6.41359644],[13.13736672 13.56016915  1.31566751],[12.5930884   1.28355565  1.66420181],[39.49826981 36.96428847 24.55540591],[19.98768456 16.87898075 28.43214345],[23.32873432 17.06743181 18.80816753],[39.49826981 36.96428847 24.55540591],[32.81131793 25.0878577  11.78913862],[12.50851349  6.861942    1.01374505]
31,[29.42317377 47.30710324 24.18646641],[22.1046921  14.00126587 21.63115748],[ 2.80001937  8.60628697 28.17023339],[585.2358074  310.59034628  54.74322885],[442.00438438 399.65956852  99.12325764],[ 2.93203143  6.05446249 14.07210864],[ 5.45997654  8.6887713  15.47066257],[19.77702875 15.59382014 21.22074484],[ 2.93203143  6.05446249 14.07210864],[58.42641704 40.35621246 18.46154219],[ 99.40811483  64.82088055 136.01266654],[0.99397103 0.97914085 0.95003512],[0.99734242 0.99903101 0.96623009],[0.99996337 0.99951925 0.91759253],[0.32491341 0.67099539 0.74994797],[0.47517892 0.52941205 0.37106197],[0.99996032 0.99975896 0.98427531],[0.99974625 0.99947126 0.98488201],[0.99806098 0.99868626 0.9702293 ],[0.99996032 0.99975896 0.98427531],[0.98660884 0.98965546 0.96991085],[0.92263702 0.96126771 0.37172333],[18.26563064 13.55093839  7.62154811],[20.74973157 24.12611945  8.5914014 ],[38.69620025 28.35314904  6.29718768],[-7.70719684 -2.79429356  0.5263884 ],[-5.26911057 -4.9843388  -4.63051474],[38.29604855 31.40795364 12.325813  ],[32.89560544 28.27029817 11.50281831],[21.71620008 23.19041508  8.75778412],[38.29604855 31.40795364 12.325813  ],[12.30723588 14.9312575   9.96763704],[ 7.69098421 10.81516697 -7.37859052]
32,[33.25420344 44.50212654 28.23457044],[32.13709863 21.46531879 27.32241003],[24.47119355 40.745885    3.10174146],[ 39.02494705 233.84232532  50.60746682],[37.40451356 18.13619332 37.36122009],[ 19.64230792 220.62260496   2.24437954],[76.18946504  5.12198761 14.04950859],[23.30767034 11.94719427 25.06527361],[19.64230792 39.73294369  2.24437954],[18.05698501 30.19666598 18.41850939],[70.53625799 56.17879631 83.4532665 ],[0.99130547 0.981001   0.91802569],[0.99196257 0.99549932 0.92183464],[0.99519804 0.983849   0.99873322],[0.98728904 0.65329953 0.74503786],[0.98820339 0.99687138 0.83466217],[0.9968888  0.22753478 0.99930986],[0.96566495 0.99975008 0.98731286],[0.99628681 0.99863283 0.94504122],[0.9968888  0.98594632 0.99930986],[0.9973449  0.99113277 0.95711245],[0.97004936 0.97140685 0.72240639],[17.20248998 14.08185021  6.27737289],[17.49928766 20.41471865  6.5626165 ],[19.86631793 14.8477904  25.46088469],[15.81257452 -0.32899692  1.20870461],[16.18094075 21.87854277  3.84457558],[21.77557067  0.17646534 28.27107058],[10.00152249 32.86069503 12.3397739 ],[20.28944363 25.50414699  7.31154759],[21.77557067 15.06645066 28.27107058],[22.50651622 17.4502856   9.98790699],[10.67117265 12.0580169  -3.13587022]
